14.88,12.63,0.884,4.902,2.879,2.269,4.703
14.69,12.86,0.8563,5.091,2.804,3.985,5.001
14.03,12.87,0.8596,5.053,2.849,3.347,5.003
13.99,12.88,0.8511,5.14,2.795,4.325,5.003
14.11,13.01,0.8355,5.186,2.71,5.335,5.092
13.02,13.1,0.8455,5.167,2.845,6.715,4.956
15.49,13.13,0.8335,5.176,2.719,2.221,5.132
16.2,13.32,0.8977,4.984,3.135,2.3,4.745
13.5,13.33,0.8503,5.35,2.81,4.271,5.308
15.36,13.41,0.8706,5.236,3.017,4.987,5.147
15.78,13.45,0.8198,5.413,2.716,4.898,5.352
14.46,13.52,0.8249,5.405,2.776,6.992,5.27
11.23,13.53,0.8786,5.224,3.054,5.483,4.958
14.34,13.59,0.8462,5.319,2.897,4.924,5.27
16.84,13.76,0.8641,5.395,3.026,3.373,4.825
17.32,13.83,0.9183,5.119,3.383,5.234,4.781
18.72,13.85,0.8852,5.351,3.158,2.249,5.176
18.88,13.94,0.8613,5.541,3.073,7.035,5.44
18.76,14.16,0.8796,5.438,3.201,1.717,5.001
19.31,14.26,0.8722,5.52,3.168,2.688,5.219
17.99,14.35,0.8818,5.388,3.377,2.802,5.044
18.85,14.37,0.8726,5.63,3.19,1.313,5.15
19.38,14.49,0.8799,5.563,3.259,3.586,5.219
18.96,14.57,0.8811,5.554,3.333,1.018,4.956
18.14,14.76,0.8861,5.701,3.393,1.367,5.132
18.65,14.91,0.8923,5.674,3.434,5.593,5.136
18.94,14.94,0.8724,5.757,3.371,3.412,5.228
17.36,15.27,0.8734,5.826,3.464,2.823,5.527
13.32,15.67,0.8623,5.998,3.484,4.675,5.877
11.43,15.76,0.8785,6.145,3.574,3.526,5.971
12.01,15.86,0.8992,5.89,3.694,2.068,5.837
11.34,15.91,0.8599,6.064,3.403,3.824,5.922
12.02,16.12,0.8772,6.059,3.563,3.619,6.011
12.44,16.17,0.9056,6.152,3.806,2.843,6.2
11.55,16.19,0.8977,6.006,3.857,5.324,5.879
11.26,16.2,0.8984,6.172,3.796,3.12,6.053
12.46,16.2,0.9077,6.051,3.897,4.334,5.75
11.81,16.26,0.8969,6.084,3.764,1.649,6.109
11.27,16.32,0.8942,6.144,3.825,2.908,5.949
12.79,16.41,0.8698,6.285,3.594,4.391,6.102
12.67,16.59,0.8815,6.341,3.81,3.477,6.238
11.23,16.72,0.8716,6.303,3.791,3.678,5.965
